Provincia,,,,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Alajuela,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Guanacaste,Puntarenas,Puntarenas,Puntarenas,Puntarenas,Puntarenas,Puntarenas,Puntarenas,Puntarenas
Cantón,,,,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Tilaran,Tilaran,Tilaran,Tilaran,Tilaran,Tilaran,Tilaran,Tilaran,Tilaran,Tilaran,Tilaran,Tilaran,San Ramón,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Bagaces,Abangares,Cañas,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Tilaran,Tilaran,Bagaces,Liberia,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Abangares,Tilarán,Abangares,Abangares,Tilarán,Tilarán,Tilarán,Tilarán,Tilarán,Tilarán,Tilarán,Puntarenas,Puntarenas,Montes de Oro,Puntarenas,Montes de Oro,Puntarenas,Montes de Oro,Montes de Oro
Distrito,,,,Bagaces,Fortuna,Fortuna,Rio naranjo,Fortuna,Mogote,Mogote,Mogote,Mogote,Porozal,Tilaran,Quebrada grande,Quebrada grande,Libano,Libano,Quebrada grande,Tierras morenas,Tierras morenas,Tierras morenas,Tronadora,Quebrada grande,Quebrada grande,Zapotal,Bagaces,Bagaces,Bagaces,Fortuna,Rio naranjo,Mogote,Bagaces,Las Juntas,San miguel,Colorado,Sierra,La sierra,San juan,La sierra,Colorado,Libano,Arenal,La sierra,Nacascolo,La sierra,Colorado,Las juntas,Las juntas,La sierra,Sierra,San juan,Las juntas,Colorado,Las juntas,Las juntas,La sierra,La sierra,San juan,Quebrada grande,Colorado,Las juntas,Tronadora,Tilaran,Quebrada grande,Quebrada grande,Quebrada grande,Tronadora,Quebrada grande,Arancibia,Arancibia,La union,Arancibia,La union,Arancibia,La union,La union
,,,,1,2,2,4,2,3,3,3,3,5,1,2,2,5,5,2,6,6,6,3,2,2,3,1,1,1,2,4,3,1,1,3,4,2,2,3,2,4,5,7,2,4,2,4,1,1,2,2,3,1,4,1,1,2,2,3,2,4,1,3,1,2,2,2,3,2,16,16,2,16,2,16,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDERA AZUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipalidad,,,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,,,,,,,,,,,,,,SI,SI,SI,SI,SI,SI,SI,,SI,,,,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,,SI,,,,,SI,,,,,,SI,SI,SI,,,,SI,SI,SI,SI,,,,,SI,SI,,,,,,,,,,,,,,,
Microcuencas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otros hayados,,,,,,,,,,,,,,,,,,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,,,,,SI,,,,,,,,,
total,,,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,NO,NO,NO,NO,SI,SI,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO
