ID_CANTON,NOMBRE,ID_PROVINCIA
7,ABANGARES,5
12,ACOSTA,1
6,AGUIRRE,6
1,ALAJUELA,2
10,ALAJUELITA,1
6,ALVARADO,3
6,ASERRI,1
5,ATENAS,2
4,BAGACES,5
2,BARVA,4
7,BELEN,4
3,BUENOS AIRES,6
6,CAÑAS,5
5,CARRILLO,5
1,CARTAGO,3
10,CORREDORES,6
8,COTO BRUS,6
18,CURRIDABAT,1
3,DESAMPARADOS,1
17,DOTA,1
8,EL GUARCO,3
2,ESCAZU,1
2,ESPARZA,6
8,FLORES,4
11,GARABITO,6
8,GOICOECHEA,1
7,GOLFITO,6
3,GRECIA,2
6,GUACIMO,7
15,GUATUSO,2
1,HEREDIA,4
11,HOJANCHA,5
4,JIMENEZ,3
10,LA CRUZ,5
3,LA UNION,3
20,LEON CORTES,1
1,LIBERIA,5
1,LIMON,7
14,LOS CHILES,2
5,MATINA,7
15,MONTES DE OCA,1
4,MONTES DE ORO,6
7,MORA,1
14,MORAVIA,1
9,NANDAYURE,5
6,NARANJO,2
2,NICOYA,5
7,OREAMUNO,3
9,OROTINA,2
5,OSA,6
7,PALMARES,2
2,PARAISO,3
9,PARRITA,6
19,PEREZ ZELEDON,1
8,POAS,2
2,POCOCI,7
1,PUNTARENAS,6
4,PURISCAL,1
10,SAN CARLOS,2
6,SAN ISIDRO,4
1,SAN JOSE,1
4,SAN MATEO,2
9,SAN PABLO,4
5,SAN RAFAEL,4
2,SAN RAMON,2
9,SANTA ANA,1
4,SANTA BARBARA,4
3,SANTA CRUZ,5
3,SANTO DOMINGO,4
10,SARAPIQUI,4
3,SIQUIRRES,7
4,TALAMANCA,7
5,TARRAZU,1
13,TIBAS,1
8,TILARAN,5
5,TURRIALBA,3
16,TURRUBARES,1
13,UPALA,2
12,VALVERDE VEGA,2
11,VAZQUEZ DE CORONADO,1
11,ZARCERO,2
16,RIO CUARTO,2
