COD_DIST,NOM_DIST,COD_CANT,COD_PROV,CODIGO
1,EL CARMEN,1,1,1011
2,MERCED,1,1,1012
3,HOSPITAL,1,1,1013
4,CATEDRAL,1,1,1014
5,ZAPOTE,1,1,1015
6,SAN FRANCISCO DE DOS RIOS,1,1,1016
7,URUCA,1,1,1017
8,MATA REDONDA,1,1,1018
9,PAVAS,1,1,1019
10,HATILLO,1,1,10110
11,SAN SEBASTIAN,1,1,10111
1,ESCAZU,2,1,1021
2,SAN ANTONIO,2,1,1022
3,SAN RAFAEL,2,1,1023
1,DESAMPARADOS,3,1,1031
2,SAN MIGUEL,3,1,1032
3,SAN JUAN DE DIOS,3,1,1033
4,SAN RAFAEL ARRIBA,3,1,1034
5,SAN ANTONIO,3,1,1035
6,FRAILES,3,1,1036
7,PATARRA,3,1,1037
8,SAN CRISTOBAL,3,1,1038
9,ROSARIO,3,1,1039
10,DAMAS,3,1,10310
11,SAN RAFAEL ABAJO,3,1,10311
12,GRAVILIAS,3,1,10312
13,LOS GUIDO,3,1,10313
1,SANTIAGO,4,1,1041
2,MERCEDES SUR,4,1,1042
3,BARBACOAS,4,1,1043
4,GRIFO ALTO,4,1,1044
5,SAN RAFAEL,4,1,1045
6,CANDELARITA,4,1,1046
7,DESAMPARADITOS,4,1,1047
8,SAN ANTONIO,4,1,1048
9,CHIRES,4,1,1049
10,CANGREJA,4,1,10410
1,SAN MARCOS,5,1,1051
2,SAN LORENZO,5,1,1052
3,SAN CARLOS,5,1,1053
1,ASERRI,6,1,1061
2,TARBACA,6,1,1062
3,VUELTA DE JORCO,6,1,1063
4,SAN GABRIEL,6,1,1064
5,LEGUA,6,1,1065
6,MONTERREY,6,1,1066
7,SALITRILLOS,6,1,1067
1,COLON,7,1,1071
2,GUAYABO,7,1,1072
3,TABARCIA,7,1,1073
4,PIEDRAS NEGRAS,7,1,1074
5,PICAGRES,7,1,1075
6,JARIS,7,1,1076
7,QUITIRRISÍ,7,1,1077
1,GUADALUPE,8,1,1081
2,SAN FRANCISCO,8,1,1082
3,CALLE BLANCOS,8,1,1083
4,MATA DE PLATANO,8,1,1084
5,IPIS,8,1,1085
6,RANCHO REDONDO,8,1,1086
7,PURRAL,8,1,1087
1,SANTA ANA,9,1,1091
2,SALITRAL,9,1,1092
3,POZOS,9,1,1093
4,URUCA,9,1,1094
5,PIEDADES,9,1,1095
6,BRASIL,9,1,1096
1,ALAJUELITA,10,1,1101
2,SAN JOSECITO,10,1,1102
3,SAN ANTONIO,10,1,1103
4,CONCEPCION,10,1,1104
5,SAN FELIPE,10,1,1105
1,SAN ISIDRO,11,1,1111
2,SAN RAFAEL,11,1,1112
3,DULCE NOMBRE DE JESUS,11,1,1113
4,PATALILLO,11,1,1114
5,CASCAJAL,11,1,1115
1,SAN IGNACIO,12,1,1121
2,GUAITIL,12,1,1122
3,PALMICHAL,12,1,1123
4,CANGREJAL,12,1,1124
5,SABANILLAS,12,1,1125
1,SAN JUAN,13,1,1131
2,CINCO ESQUINAS,13,1,1132
3,ANSELMO LLORENTE,13,1,1133
4,LEON XIII,13,1,1134
5,COLIMA,13,1,1135
1,SAN VICENTE,14,1,1141
