A,B,C,D,E
2018,1,5014B,1,1
2018,2,5014B,0,0
2018,3,5014B,1,1
2018,4,5014B,1,1
2018,5,5014B,0.991,0.991
2018,6,5014B,0.407,0.407
2018,7,5014B,1,1
2018,8,5014B,0.33,0.33
2018,9,5014B,0.996,0.996
2018,10,5014B,0.275,0.275
2018,11,5014B,1,1
2018,12,5014B,1,1
2018,13,5014B,1,1
2018,14,5014B,0.54,0.54
2018,15,5014B,1,1
2018,16,5014B,1,1
2018,17,5014B,0,0
2018,18,5014B,1,1
2018,19,5014B,0,0
2018,20,5014B,1,1
2018,21,5014B,1,1
2018,22,5014B,0.014,0.014
2018,23,5014B,0.986,0.986
2018,24,5014B,0.24,0.24
2018,25,5014B,1,1
2018,26,5014B,1,1
2018,27,5014B,1,1
2018,28,5014B,1,1
2018,29,5014B,1,1
2018,30,5014B,1,1
2018,1,5014F,0,0
2018,2,5014F,0,0
2018,3,5014F,1,1
2018,4,5014F,1,1
2018,5,5014F,0.991,0.991
2018,6,5014F,0.407,0.407
2018,7,5014F,1,1
2018,8,5014F,0.33,0.33
2018,9,5014F,0.996,0.996
2018,10,5014F,0.275,0.275
2018,11,5014F,1,1
2018,12,5014F,1,1
2018,13,5014F,1,1
2018,14,5014F,0.055,0.055
2018,15,5014F,1,1
2018,16,5014F,1,1
2018,17,5014F,1,1
2018,18,5014F,1,1
2018,19,5014F,1,1
2018,20,5014F,1,1
2018,21,5014F,1,1
2018,22,5014F,0.945,0.945
2018,23,5014F,0.986,0.986
2018,24,5014F,0.24,0.24
2018,25,5014F,1,1
2018,26,5014F,1,1
2018,27,5014F,1,1
2018,28,5014F,1,1
2018,29,5014F,1,1
2018,30,5014F,1,1
2018,1,5042B,0,0
2018,2,5042B,0,0
2018,3,5042B,0,0
2018,4,5042B,1,1
2018,5,5042B,0.991,0.991
2018,6,5042B,0.407,0.407
2018,7,5042B,1,1
2018,8,5042B,0.33,0.33
2018,9,5042B,0.996,0.996
2018,10,5042B,0.275,0.275
2018,11,5042B,0,0
2018,12,5042B,0,0
2018,13,5042B,1,1
2018,14,5042B,0.006,0.006
2018,15,5042B,1,1
2018,16,5042B,1,1
2018,17,5042B,0,0
2018,18,5042B,1,1
2018,19,5042B,0,0
2018,20,5042B,1,1
2018,21,5042B,1,1
2018,22,5042B,0.014,0.014
2018,23,5042B,0.986,0.986
2018,24,5042B,0.28,0.28
2018,25,5042B,1,1
2018,26,5042B,1,1
2018,27,5042B,1,1
2018,28,5042B,1,1
2018,29,5042B,1,1
2018,30,5042B,1,1
2018,1,5042C,0,0
2018,2,5042C,0,0
2018,3,5042C,1,1
2018,4,5042C,1,1
2018,5,5042C,0.991,0.991
2018,6,5042C,0.407,0.407
2018,7,5042C,1,1
2018,8,5042C,0.33,0.33
2018,9,5042C,0.996,0.996
2018,10,5042C,0.275,0.275
2018,11,5042C,1,1
2018,12,5042C,0,0
2018,13,5042C,1,1
2018,14,5042C,0.018,0.018
2018,15,5042C,1,1
2018,16,5042C,1,1
2018,17,5042C,1,1
2018,18,5042C,1,1
2018,19,5042C,1,1
2018,20,5042C,1,1
2018,21,5042C,1,1
2018,22,5042C,0.055,0.055
2018,23,5042C,0.986,0.986
2018,24,5042C,0.28,0.28
2018,25,5042C,1,1
2018,26,5042C,1,1
2018,27,5042C,1,1
2018,28,5042C,1,1
2018,29,5042C,1,1
2018,30,5042C,1,1
2018,1,5042D,0,0
2018,2,5042D,0,0
2018,3,5042D,1,1
2018,4,5042D,1,1
2018,5,5042D,0.991,0.991
2018,6,5042D,0.407,0.407
2018,7,5042D,1,1
2018,8,5042D,0.33,0.33
2018,9,5042D,0.996,0.996
2018,10,5042D,0.275,0.275
2018,11,5042D,1,1
2018,12,5042D,1,1
2018,13,5042D,1,1
2018,14,5042D,0,0
2018,15,5042D,1,1
2018,16,5042D,1,1
2018,17,5042D,1,1
2018,18,5042D,1,1
2018,19,5042D,0,0
2018,20,5042D,1,1
2018,21,5042D,1,1
2018,22,5042D,0.055,0.055
2018,23,5042D,0.986,0.986
2018,24,5042D,0.28,0.28
2018,25,5042D,1,1
2018,26,5042D,1,1
2018,27,5042D,1,1
2018,28,5042D,1,1
2018,29,5042D,1,1
2018,30,5042D,1,1
2018,1,5043A,0,0
2018,2,5043A,1,1
2018,3,5043A,0,0
2018,4,5043A,1,1
2018,5,5043A,0.991,0.991
2018,6,5043A,0.407,0.407
2018,7,5043A,1,1
2018,8,5043A,0.33,0.33
2018,9,5043A,0.996,0.996
2018,10,5043A,0.275,0.275
2018,11,5043A,1,1
2018,12,5043A,1,1
2018,13,5043A,0,0
2018,14,5043A,0.002,0.002
2018,15,5043A,1,1
2018,16,5043A,1,1
2018,17,5043A,0,0
2018,18,5043A,1,1
2018,19,5043A,0,0
2018,20,5043A,1,1
2018,21,5043A,1,1
2018,22,5043A,0.055,0.055
2018,23,5043A,0.986,0.986
2018,24,5043A,0.231,0.231
2018,25,5043A,1,1
2018,26,5043A,1,1
2018,27,5043A,1,1
2018,28,5043A,1,1
2018,29,5043A,1,1
2018,30,5043A,1,1
2018,1,5043B,0,0
2018,2,5043B,0,0
2018,3,5043B,1,1
2018,4,5043B,1,1
2018,5,5043B,0.991,0.991
2018,6,5043B,0.407,0.407
2018,7,5043B,1,1
2018,8,5043B,0.33,0.33
2018,9,5043B,0.996,0.996
2018,10,5043B,0.275,0.275
2018,11,5043B,1,1
2018,12,5043B,1,1
2018,13,5043B,1,1
2018,14,5043B,0.055,0.055
2018,15,5043B,1,1
2018,16,5043B,1,1
2018,17,5043B,1,1
2018,18,5043B,1,1
2018,19,5043B,0,0
2018,20,5043B,1,1
2018,21,5043B,1,1
2018,22,5043B,0.014,0.014
2018,23,5043B,0.986,0.986
2018,24,5043B,0.231,0.231
2018,25,5043B,1,1
2018,26,5043B,1,1
2018,27,5043B,1,1
2018,28,5043B,1,1
2018,29,5043B,1,1
2018,30,5043B,1,1
2018,1,5043D,0,0
2018,2,5043D,0,0
2018,3,5043D,1,1
2018,4,5043D,1,1
2018,5,5043D,0.991,0.991
2018,6,5043D,0.407,0.407
2018,7,5043D,1,1
2018,8,5043D,0.33,0.33
2018,9,5043D,0.996,0.996
2018,10,5043D,0.275,0.275
2018,11,5043D,1,1
2018,12,5043D,1,1
2018,13,5043D,1,1
2018,14,5043D,0.003,0.003
