,GAR-1,GAR-2,GAR-3,GAR-4,GAR-5,GRS-1,GRS-2,GRS-3,GRS-4,GRS-5,GRPH-1,GRPH-2,GRPH-3,GRPH-4,GRPH-5,GRPH-6,GRPH-7,GAP-1,GAP-2,GAP-3,GAP-4,GAF-1,GAF-2,IDS-1,EC-1,EC-2,EN-1,EN-2,EN-3,EN-4
155,1,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.54,1,1,0,1,0,1,1,0.014,0.986,0.24,1,1,1,1,1,1
162,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.055,1,1,1,1,1,1,1,0.945,0.986,0.24,1,1,1,1,1,1
165,0,0,0,1,0.991,0.407,1,0.33,0.996,0.275,0,0,1,0.006,1,1,0,1,0,1,1,0.014,0.986,0.28,1,1,1,1,1,1
166,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.018,1,1,1,1,1,1,1,0.055,0.986,0.28,1,1,1,1,1,1
168,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0,1,1,1,1,0,1,1,0.055,0.986,0.28,1,1,1,1,1,1
169,0,1,0,1,0.991,0.407,1,0.33,0.996,0.275,1,1,0,0.002,1,1,0,1,0,1,1,0.055,0.986,0.231,1,1,1,1,1,1
170,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.055,1,1,1,1,0,1,1,0.014,0.986,0.231,1,1,1,1,1,1
173,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.003,1,1,1,1,0,1,1,0.055,0.986,0.231,1,1,1,1,1,1
174,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.072,1,1,0,1,1,1,1,0.945,0.986,0.231,1,1,1,1,1,1
217,0,0,1,1,0.991,0.094,1,0.33,0.493,0.018,1,1,1,0.017,1,1,0,1,0,1,1,0.014,0.986,0.961,1,1,1,1,1,1
245,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.094,1,1,1,1,0,1,1,0.055,0.986,0.02,0,1,1,1,1,1
251,0,0,0,1,0.991,0.086,0,0.33,0.94,0.317,0,1,1,0.5,1,1,1,1,0,1,1,0.014,0.986,0.404,0,1,1,1,1,1
253,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.846,1,1,1,1,0,1,1,0.055,0.986,0.404,0,1,1,1,1,1
258,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.945,1,1,1,1,0,1,1,0.014,0.986,0.438,0,1,1,1,1,1
259,0,1,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.43,1,1,1,1,0,1,1,0.014,0.986,0.438,0,1,1,1,1,1
260,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.968,1,1,1,1,1,1,1,0.055,0.986,0.404,0,1,1,1,1,1
261,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,0,0,1,0.042,1,1,1,1,0,1,1,0.945,0.986,0.19,0,1,1,1,1,1
262,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.986,1,1,1,1,0,1,0,0.055,0.986,0.19,0,1,1,1,1,1
263,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.024,1,1,1,1,0,1,1,0.014,0.986,0.19,0,1,1,1,1,1
265,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.5,1,1,1,1,0,1,1,0.055,0.986,0.092,1,1,1,1,1,1
4317,0,1,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.121,1,1,1,1,0,1,1,0.945,0.986,0.404,0,1,1,1,1,1
4584,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.014,1,1,0,1,1,1,1,0.014,0.986,0.404,0,1,1,1,1,1
625,0,0,1,1,0.991,0.035,1,0.5,0.996,0.673,0,1,1,0.638,1,1,1,1,1,1,1,0.055,0.986,0.631,0,1,1,1,1,1
156,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.121,1,1,0,1,0,1,1,0.014,0.986,0.24,1,1,1,1,1,1
157,0,1,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.995,1,1,0,1,0,1,1,0.055,0.986,0.24,1,1,1,1,1,1
160,0,1,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.028,1,1,0,1,0,1,1,0.945,0.986,0.24,1,1,1,1,1,1
164,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.018,1,1,0,1,1,1,1,0.014,0.986,0.28,1,1,1,1,1,1
167,0,1,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.003,1,1,1,1,1,1,1,0.014,0.986,0.166,1,1,1,1,1,1
