NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,155,NO,SI,NO,NA,No Tienen,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,252.86,5593,NO,No,si,No,si,No,NO,0%,NO LO CONOCE,"58,14",SI,NO
,162,SI,SI,NO,NA,No responde,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,200,1103,NO,No,ND,No,no,No,NO,a. > 10%,NO LO CONOCE,"58,14",SI,NO
,165,SI,SI,SI,NA,No Tienen,52,No,BLANCO,0.7,BLANCO,BLANCO,SI,SI,No,160,0,NO,No,SI,No,si,No,NO,0%,NO LO CONOCE,"56,66",SI,NO
,166,SI,SI,NO,NA,No Tienen,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,SI,No,180,0,NO,No,ND,No,no,No,NO,< 10%,NO LO CONOCE,"56,66",SI,NO
,168,SI,SI,NO,NA,No Tienen,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,110,4042,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"56,66",SI,NO
,169,SI,NO,SI,NA,No responde,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,Sí,140.19,29685,NO,No,SI,No,si,No,NO,< 10%,NO LO CONOCE,"58,46",SI,BLANCO
,170,SI,SI,NO,NA,No responde,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,200,0,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"58,46",SI,NO
,173,SI,SI,NO,NA,No Tienen,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,147,0,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"58,46",SI,NO
,174,SI,SI,NO,NA,No Tienen,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,205,0,NO,No,SI,No,no,No,NO,a. > 10%,NO LO CONOCE,"58,46",SI,NO
,217,SI,SI,NO,NA,No Tienen,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,178,0,NO,No,SI,No,si,No,NO,0%,NO LO CONOCE,"27,46",SI,NO
,245,SI,SI,NO,NA,No Tienen,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,SI,No,210,0,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"77,27",NO,BLANCO
,251,SI,SI,SI,NA,No Tienen,61,Si,BLANCO,0.7,BLANCO,BLANCO,SI,NO,No,250,0,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"52,74",NO,NO
,253,SI,SI,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,ND,No,280,0,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"52,74",NO,NO
,258,SI,SI,NO,NA,No Tienen,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,300,0,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"51,77",NO,NO
,259,SI,NO,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,SI,No,245,0,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"51,77",NO,NO
,260,SI,SI,NO,NA,No Tienen,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,310,0,NO,No,ND,No,no,No,NO,< 10%,NO LO CONOCE,"52,74",NO,NO
