Código,GAR-1,GAR-2,GAR-3,GAR-4,GAR-5,GRS-1,GRS-2,GRS-3,GRS-4,GRS-5,GRS-6,GPRH-1,GPRH-2,GPRH-3,GPRH-4,GPRH-5,GPRH-6,GPRH-7,GAP-1,GAP-2,GAP-3,GAP-4,GAF-1,GAF-2,IDS,EC-1,EC-2
155,0,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,252.86,0,0,1,0,1,0,0,0.0%,60.0%,58.14,1,0
162,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,200,0,0,0,0,0,0,0,50.0%,60.0%,58.14,1,0
165,1,1,1,0,0%,54,0,BLANCO,0.7,0,2777,1,1,0,160,0,0,1,0,1,0,0,0.0%,60.0%,56.66,1,0
166,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,180,0,0,0,0,0,0,0,10.0%,60.0%,56.66,1,0
168,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,110,0,0,0,0,1,0,0,10.0%,60.0%,56.66,1,0
169,1,0,1,0,0%,54,0,BLANCO,0.7,0,2777,0,0,1,140.19,0,0,1,0,1,0,0,10.0%,60.0%,58.46,1,0
170,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,200,0,0,0,0,1,0,0,0.0%,60.0%,58.46,1,0
173,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,147,0,0,0,0,1,0,0,10.0%,60.0%,58.46,1,0
174,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,205,0,0,1,0,0,0,0,50.0%,60.0%,58.46,1,0
217,1,1,0,0,0%,74,0,BLANCO,0.7,280.28,4284,0,0,0,178,0,0,1,0,1,0,0,0.0%,60.0%,27.46,1,0
245,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,210,0,0,0,0,1,0,0,10.0%,60.0%,77.27,0,0
251,1,1,1,0,0%,75,1,BLANCO,0.7,139.7,2679,1,0,0,250,0,0,0,0,1,0,0,0.0%,60.0%,52.74,0,0
253,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,280,0,0,0,0,1,0,0,10.0%,60.0%,52.74,0,0
258,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,300,0,0,0,0,1,0,0,0.0%,60.0%,51.77,0,0
259,1,0,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,245,0,0,0,0,1,0,0,0.0%,60.0%,51.77,0,0
260,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,310,0,0,0,0,0,0,0,10.0%,60.0%,52.74,0,0
261,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,1,1,0,195,0,0,0,0,1,0,0,50.0%,60.0%,60.2,0,0
262,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,325,0,0,0,0,1,0,1,10.0%,60.0%,60.2,0,0
263,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,185,0,0,0,0,1,0,0,0.0%,60.0%,60.2,0,0
265,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,250,0,0,0,0,1,0,0,10.0%,60.0%,66.11,1,0
4317,1,0,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,215,0,0,0,0,1,0,0,50.0%,60.0%,52.74,0,0
4584,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,175,0,0,1,0,0,0,0,0.0%,60.0%,52.74,0,0
625,1,1,0,0,0%,85,0,BLANCO,0.8,5.13,1945,1,0,0,260,0,0,0,0,0,0,0,10.0%,60.0%,46.22,0,0
156,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,215,0,0,1,0,1,0,0,0.0%,60.0%,58.14,1,0
157,1,0,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,345,0,0,1,0,1,0,0,10.0%,60.0%,58.14,1,0
160,1,0,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,187.72,0,0,1,0,1,0,0,50.0%,60.0%,58.14,1,0
