AÑO,INDICADOR_ID,ASADA_ID,VALOR,TEXTO
2019,1,3075A,1,NO
2019,2,3075A,1,NO
2019,3,3075A,0,SI
2019,4,3075A,1,NO
2019,5,3075A,0.805,<50
2019,6,3075A,0.015,94
2019,7,3075A,1,NO
2019,8,3075A,0.447,0.77
2019,9,3075A,0.989,51
2019,10,3075A,0.991,4
2019,11,3075A,1,NO
2019,12,3075A,1,NO
2019,13,3075A,1,NO
2019,14,3075A,0.011,170
2019,15,3075A,1,NO
2019,16,3075A,1,NO
2019,17,3075A,1,NO
2019,18,3075A,0,SI
2019,19,3075A,1,NO
2019,20,3075A,1,NO
2019,21,3075A,1,NO
2019,22,3075A,0.014,<10
2019,23,3075A,0.986,>40
2019,24,3075A,0.204,59.57
2019,25,3075A,1,NO
2019,26,3075A,1,NO
2019,27,3075A,0,NO
2019,28,3075A,1,SI
2019,29,3075A,1,SI
2019,30,3075A,1,SI
2019,1,3034B,1,NO
2019,2,3034B,1,NO
2019,3,3034B,0,SI
2019,4,3034B,1,NO
2019,5,3034B,0.991,0
2019,6,3034B,0.012,96
2019,7,3034B,1,NO
2019,8,3034B,0.33,0.7
2019,9,3034B,0.977,89
2019,10,3034B,0.991,6
2019,11,3034B,1,NO
2019,12,3034B,1,NO
2019,13,3034B,1,NO
2019,14,3034B,0.034,190
2019,15,3034B,1,NO
2019,16,3034B,1,NO
2019,17,3034B,1,NO
2019,18,3034B,0,SI
2019,19,3034B,0,SI
2019,20,3034B,1,NO
2019,21,3034B,1,NO
2019,22,3034B,0.014,<10
2019,23,3034B,0.986,>40
2019,24,3034B,0.072,67.95
2019,25,3034B,1,NO
2019,26,3034B,1,NO
2019,27,3034B,0,NO
2019,28,3034B,0,NO
2019,29,3034B,1,SI
2019,30,3034B,1,SI
2019,1,30111A,1,NO
2019,2,30111A,1,NO
2019,3,30111A,0,SI
2019,4,30111A,1,NO
2019,5,30111A,0.195,>50
2019,6,30111A,0.045,82
2019,7,30111A,1,NO
2019,8,30111A,0.243,0.64
2019,9,30111A,0.992,33
2019,10,30111A,0.991,1
2019,11,30111A,1,NO
2019,12,30111A,1,NO
2019,13,30111A,1,NO
2019,14,30111A,0.011,170
2019,15,30111A,1,NO
2019,16,30111A,1,NO
2019,17,30111A,0,SI
2019,18,30111A,0,SI
2019,19,30111A,0,SI
2019,20,30111A,1,NO
2019,21,30111A,1,NO
2019,22,30111A,0.014,<10
2019,23,30111A,0.5,<40
2019,24,30111A,0.152,62.08
2019,25,30111A,1,NO
2019,26,30111A,1,NO
2019,27,30111A,1,SI
2019,28,30111A,0,NO
2019,29,30111A,1,SI 
2019,30,30111A,1,SI
2019,1,3082A,1,NO
