ID,ASADA,Distrito,Latitud,Longitud
3034B,ASADA SAN VICENTE,3034,-83.974013,9.898161
30111A,ASADA QUEBRADILLA,30111,-83.99001,9.8436
3082A,ASADA SAN ISIDRO,3082,-83.956797,9.828908
3058A,ASADA JOICOTEA,3058,-83.527506,9.807323212
3052A,ASADA SANTA CRISTIANA,3052,-83.605,9.827602
3054A,ASADA SANTA CRUZ,3054,-83.731512,9.96623
3022A,ASADA EL YAS,3022,-83.828139,9.859153
3023A,ASADA RIO MACHO,3023,-83.84817,9.76631
30511A,ASADA ALTO VARAS,30511,-83.66504148,9.942356371
3082B,ASADA HIGUITO,3082,-83.95969,9.82076
3082C,ASADA CAÑON-MACHO GAFF-DAMITA,3082,-83.915827,9.684527
3082D,ASADA GUATUSO,3082,-83.946995,9.818002
3074A,ASADA PASO ANCHO Y BOQUERON,3074,-83.8286473,9.887268
3072A,ASADA COT,3072,-83.873547,9.899022
3073A,ASADA POTRERO CERRADO,3073,-83.877933,9.20243
3014A,ASADA COOPEROSALES,3014,-83.92022,9.93595
3075B,ASADA SANTA ROSA,3075,-83.840842,9.918049
3022B,ASADA SANTIAGO,3022,-83.797453,9.869133
3024A,ASADA SAN JERONIMO,3024,-83.794872,9.858049
3023B,ASADA PALOMO,3023,-83.82847,9.78732
3075A,ASADA SAN PABLO,3075,-83.84019,9.918439
