Codigo ID,ASADA,Canton,Distrito,Latitud,Longitud,Direccion fisica,Telofono,poblacion atendida,numero de abonados
30511,ASADA ALTO VARAS,Turrialba,La Isabel,-83.66504148,9.942356371,Casa Administrador,88122743,1420,323
30802,ASADA CAÑON-MACHO GAFF-DAMITA,El Guarco,San Isidro,-83.915827,9.684527,Interamericana Sur 100 Este,no tiene,1690,384
30104,ASADA COOPEROSALES,Central Cartago,San Nicolas,-83.92022,9.93595,100 m sur de tanques ASADA,25372844,678,154
30702,ASADA COT,Oreamuno,Cot,-83.873547,9.899022,300 Norte plaza,25366081,12000,2025
30202,ASADA EL YAS,Paraiso,Santiago,-83.828139,9.859153,Contiguo Plaza deportes,no tiene,1870,425
30802,ASADA GUATUSO,El Guarco,San Isidro,-83.946995,9.818002,"100 metros norte de la Estacion
 Electrica de Jasec",83429510,1012,230
30802,ASADA HIGUITO,El Guarco,San Isidro,-83.95969,9.82076,Contiguo Tanque de AyA,25734301,2847,647
30508,ASADA JOICOTEA,Turrialba,Tayutic,-83.527506,9.807323212,Casa familia del administrador,no tiene,375,85
30303,ASADA PALOMO,Paraiso,Orosi,-83.82847,9.78732,Urbanizacion INVU,83272815,2068,470
30704,ASADA PASO ANCHO Y BOQUERON,Oreamuno,Cipreses,-83.8286473,9.887268,Frente calle a Cipreses,25366132,2500,580
30703,ASADA POTRERO CERRADO,Oreamuno,Potrero Cerrado,-83.877933,9.20243,Centro,25302033,2280,438
30111,ASADA QUEBRADILLA,Central Cartago,Quebradilla,-83.99001,9.8436,Costado norte plaza deportes,80808080,4380,1000
30203,ASADA RIO MACHO,Paraiso,Orosi,-83.84817,9.76631,Camino Tapante,no tiene,3225,773
30802,ASADA SAN ISIDRO,El Guarco,San Isidro,-83.956797,9.828908,300 metros oeste de la plaza,25735103,2500,567
30204,ASADA SAN JERONIMO,Paraiso,Cachi,-83.794872,9.858049,Camino Principal Tucurrique,25771372,620,141
30705,ASADA SAN PABLO,Oreamuno,Santa Rosa,-83.84019,9.918439,Costado norte Iglesia Catolica,83133554,1800,410
30304,ASADA SAN VICENTE,La Union,San Rafael,-83.974013,9.898161,Frente terminal buses ,,700,230
30502,ASADA SANTA CRISTIANA,Turrialba,La Suiza,-83.605,9.827602,Casa familia del administrador,84956365,154,35
30504,ASADA SANTA CRUZ,Turrialba,Santa Cruz,-83.731512,9.96623,Frente Escuela Publica MEP,84282604,4000,906
30705,ASADA SANTA ROSA,Oreamuno,Santa Rosa,-83.840842,9.918049,Centro,25252525,3700,850
30202,ASADA SANTIAGO,Paraiso,Santiago,-83.797453,9.869133,Contiguo Plaza deportes,no tiene,3225,733
